match_id,season,round,match_date,venue,home_team,away_team,home_score,away_score,crowd,margin,result,home_win
20070611_MelbourneDemons,2007,11,2007-06-11,Melbourne Cricket Ground,Melbourne Demons,Collingwood Magpies,94,81,70660.0,13,H,1.0
20070615_CarltonBlues,2007,12,2007-06-15,Marvel Stadium,Carlton Blues,Hawthorn Hawks,80,180,53459.0,-100,A,0.0
20070616_WesternBulldogs,2007,12,2007-06-16,TIO Stadium,Western Bulldogs,Fremantle Dockers,141,115,11449.0,26,H,1.0
20070616_NorthMelbourneKangaroos,2007,12,2007-06-16,People First Stadium,North Melbourne Kangaroos,Adelaide Crows,54,100,11178.0,-46,A,0.0
20070617_PortAdelaidePower,2007,12,2007-06-17,AAMI Stadium,Port Adelaide Power,Essendon Bombers,126,95,25242.0,31,H,1.0
20070617_GeelongCats,2007,12,2007-06-17,GMHBA Stadium,Geelong Cats,Brisbane Lions,85,35,21212.0,50,H,1.0
20070622_RichmondTigers,2007,12,2007-06-22,Melbourne Cricket Ground,Richmond Tigers,Melbourne Demons,124,75,46161.0,49,H,1.0
20070623_SydneySwans,2007,12,2007-06-23,Accor Stadium,Sydney Swans,Collingwood Magpies,57,76,64222.0,-19,A,0.0
20070624_WestCoastEagles,2007,12,2007-06-24,Domain Stadium,West Coast Eagles,St Kilda Saints,76,99,39401.0,-23,A,0.0
20070629_EssendonBombers,2007,13,2007-06-29,Marvel Stadium,Essendon Bombers,Melbourne Demons,125,123,47552.0,2,H,1.0
20070630_FremantleDockers,2007,13,2007-06-30,Domain Stadium,Fremantle Dockers,Carlton Blues,173,96,36307.0,77,H,1.0
20070630_StKildaSaints,2007,13,2007-06-30,Marvel Stadium,St Kilda Saints,Richmond Tigers,117,100,38689.0,17,H,1.0
20070630_BrisbaneLions,2007,13,2007-06-30,The Gabba,Brisbane Lions,Port Adelaide Power,105,112,22124.0,-7,A,0.0
20070630_GeelongCats,2007,13,2007-06-30,GMHBA Stadium,Geelong Cats,Sydney Swans,87,69,23040.0,18,H,1.0
20070701_NorthMelbourneKangaroos,2007,13,2007-07-01,Melbourne Cricket Ground,North Melbourne Kangaroos,Western Bulldogs,111,85,39433.0,26,H,1.0
20070701_AdelaideCrows,2007,13,2007-07-01,AAMI Stadium,Adelaide Crows,West Coast Eagles,74,95,42127.0,-21,A,0.0
20070701_CollingwoodMagpies,2007,13,2007-07-01,Marvel Stadium,Collingwood Magpies,Hawthorn Hawks,87,95,50248.0,-8,A,0.0
20070706_EssendonBombers,2007,14,2007-07-06,Marvel Stadium,Essendon Bombers,Geelong Cats,83,133,51156.0,-50,A,0.0
20070707_AdelaideCrows,2007,14,2007-07-07,AAMI Stadium,Adelaide Crows,Hawthorn Hawks,102,31,34733.0,71,H,1.0
20070707_WestCoastEagles,2007,14,2007-07-07,Domain Stadium,West Coast Eagles,Brisbane Lions,64,91,40763.0,-27,A,0.0
20070707_WesternBulldogs,2007,14,2007-07-07,Marvel Stadium,Western Bulldogs,Port Adelaide Power,133,113,22691.0,20,H,1.0
20070707_CollingwoodMagpies,2007,14,2007-07-07,Melbourne Cricket Ground,Collingwood Magpies,St Kilda Saints,89,80,57247.0,9,H,1.0
20070708_SydneySwans,2007,14,2007-07-08,Sydney Cricket Ground,Sydney Swans,Fremantle Dockers,89,61,25943.0,28,H,1.0
20070708_RichmondTigers,2007,14,2007-07-08,Marvel Stadium,Richmond Tigers,North Melbourne Kangaroos,79,104,33583.0,-25,A,0.0
20070708_CarltonBlues,2007,14,2007-07-08,Melbourne Cricket Ground,Carlton Blues,Melbourne Demons,101,124,33085.0,-23,A,0.0
20070713_StKildaSaints,2007,15,2007-07-13,Marvel Stadium,St Kilda Saints,Adelaide Crows,82,80,32210.0,2,H,1.0
20070714_MelbourneDemons,2007,15,2007-07-14,The Gabba,Melbourne Demons,Brisbane Lions,82,126,22708.0,-44,A,0.0
20070714_EssendonBombers,2007,15,2007-07-14,Marvel Stadium,Essendon Bombers,Western Bulldogs,98,131,45283.0,-33,A,0.0
20070714_GeelongCats,2007,15,2007-07-14,Melbourne Cricket Ground,Geelong Cats,Collingwood Magpies,80,64,85497.0,16,H,1.0
20070714_PortAdelaidePower,2007,15,2007-07-14,AAMI Stadium,Port Adelaide Power,West Coast Eagles,153,62,27879.0,91,H,1.0
20070715_SydneySwans,2007,15,2007-07-15,Sydney Cricket Ground,Sydney Swans,Carlton Blues,162,100,24858.0,62,H,1.0
20070715_FremantleDockers,2007,15,2007-07-15,Domain Stadium,Fremantle Dockers,North Melbourne Kangaroos,78,82,37002.0,-4,A,0.0
20070715_HawthornHawks,2007,15,2007-07-15,Melbourne Cricket Ground,Hawthorn Hawks,Richmond Tigers,129,76,41770.0,53,H,1.0
20070720_GeelongCats,2007,16,2007-07-20,Marvel Stadium,Geelong Cats,Western Bulldogs,138,63,44688.0,75,H,1.0
20070721_AdelaideCrows,2007,16,2007-07-21,AAMI Stadium,Adelaide Crows,Fremantle Dockers,101,126,40190.0,-25,A,0.0
20070721_CollingwoodMagpies,2007,16,2007-07-21,Melbourne Cricket Ground,Collingwood Magpies,Essendon Bombers,122,93,65531.0,29,H,1.0
20070721_WestCoastEagles,2007,16,2007-07-21,Domain Stadium,West Coast Eagles,Sydney Swans,112,100,40014.0,12,H,1.0
20070721_StKildaSaints,2007,16,2007-07-21,Marvel Stadium,St Kilda Saints,Hawthorn Hawks,95,78,37847.0,17,H,1.0
20070722_RichmondTigers,2007,16,2007-07-22,Melbourne Cricket Ground,Richmond Tigers,Port Adelaide Power,100,155,22395.0,-55,A,0.0
20070722_NorthMelbourneKangaroos,2007,16,2007-07-22,Marvel Stadium,North Melbourne Kangaroos,Melbourne Demons,126,62,20187.0,64,H,1.0
20070722_BrisbaneLions,2007,16,2007-07-22,The Gabba,Brisbane Lions,Carlton Blues,163,46,27163.0,117,H,1.0
20070727_WesternBulldogs,2007,17,2007-07-27,Marvel Stadium,Western Bulldogs,West Coast Eagles,71,158,30900.0,-87,A,0.0
20070728_SydneySwans,2007,17,2007-07-28,Sydney Cricket Ground,Sydney Swans,Richmond Tigers,138,72,23199.0,66,H,1.0
20070728_CarltonBlues,2007,17,2007-07-28,Marvel Stadium,Carlton Blues,St Kilda Saints,101,111,32327.0,-10,A,0.0
20070728_FremantleDockers,2007,17,2007-07-28,Domain Stadium,Fremantle Dockers,Geelong Cats,72,140,36741.0,-68,A,0.0
20070728_CollingwoodMagpies,2007,17,2007-07-28,Melbourne Cricket Ground,Collingwood Magpies,Brisbane Lions,56,149,45096.0,-93,A,0.0
20070729_PortAdelaidePower,2007,17,2007-07-29,AAMI Stadium,Port Adelaide Power,Melbourne Demons,163,74,23485.0,89,H,1.0
20070729_HawthornHawks,2007,17,2007-07-29,UTAS Stadium,Hawthorn Hawks,North Melbourne Kangaroos,71,108,19114.0,-37,A,0.0
20070729_EssendonBombers,2007,17,2007-07-29,Marvel Stadium,Essendon Bombers,Adelaide Crows,117,105,35010.0,12,H,1.0
20070803_WesternBulldogs,2007,18,2007-08-03,Marvel Stadium,Western Bulldogs,St Kilda Saints,85,85,33600.0,0,D,
20070804_BrisbaneLions,2007,18,2007-08-04,The Gabba,Brisbane Lions,North Melbourne Kangaroos,77,40,29233.0,37,H,1.0
20070804_GeelongCats,2007,18,2007-08-04,GMHBA Stadium,Geelong Cats,Richmond Tigers,139,69,21951.0,70,H,1.0
20070804_CarltonBlues,2007,18,2007-08-04,Melbourne Cricket Ground,Carlton Blues,Collingwood Magpies,96,120,56341.0,-24,A,0.0
20070804_AdelaideCrows,2007,18,2007-08-04,AAMI Stadium,Adelaide Crows,Port Adelaide Power,73,65,42335.0,8,H,1.0
20070805_MelbourneDemons,2007,18,2007-08-05,Manuka Oval,Melbourne Demons,Sydney Swans,64,112,11266.0,-48,A,0.0
20070805_WestCoastEagles,2007,18,2007-08-05,Domain Stadium,West Coast Eagles,Fremantle Dockers,97,124,43096.0,-27,A,0.0
20070805_HawthornHawks,2007,18,2007-08-05,Melbourne Cricket Ground,Hawthorn Hawks,Essendon Bombers,119,56,55019.0,63,H,1.0
20070810_RichmondTigers,2007,19,2007-08-10,Melbourne Cricket Ground,Richmond Tigers,Collingwood Magpies,116,96,49550.0,20,H,1.0
20070811_SydneySwans,2007,19,2007-08-11,Accor Stadium,Sydney Swans,St Kilda Saints,82,65,63369.0,17,H,1.0
20070811_MelbourneDemons,2007,19,2007-08-11,Marvel Stadium,Melbourne Demons,Western Bulldogs,129,87,18946.0,42,H,1.0
20070811_HawthornHawks,2007,19,2007-08-11,Melbourne Cricket Ground,Hawthorn Hawks,Brisbane Lions,115,91,39007.0,24,H,1.0
20070811_PortAdelaidePower,2007,19,2007-08-11,AAMI Stadium,Port Adelaide Power,Carlton Blues,116,93,27603.0,23,H,1.0
