id,team_name,round,match_date,year,home_away,opponent,team_quarter_scores,team_score,opponent_quarter_scores,opponent_score,result,margin,venue,crowd,team_goals_kicked,team_behinds,opponent_goals_kicked,opponent_behinds
13770,melbourne demons,5,1994-04-22,1994,H,brisbane bears,4.4 9.5 12.11 17.15,117,0.1 0.3 3.4 4.6,30,W,87,Melbourne Cricket Ground,20946.0,17,15,4,6
13784,melbourne demons,20,1994-08-07,1994,A,brisbane bears,3.3 8.7 11.9 14.15,99,4.1 6.6 10.9 12.12,84,W,15,The Gabba,12341.0,14,15,12,12
13437,north melbourne kangaroos,PF,1996-09-21,1996,H,brisbane bears,8.3 11.7 16.9 17.12,114,3.1 3.5 7.8 11.10,76,W,38,Melbourne Cricket Ground,66719.0,17,12,11,10
13813,melbourne demons,22,1995-09-01,1995,A,brisbane bears,4.4 7.8 11.10 13.11,89,5.3 8.4 12.6 16.14,110,L,-21,The Gabba,11842.0,13,11,16,14
13825,melbourne demons,12,1996-06-22,1996,A,brisbane bears,3.0 4.2 5.6 6.10,46,4.5 8.8 15.10 18.15,123,L,-77,The Gabba,14871.0,6,10,18,15
14067,richmond tigers,8,1987-05-17,1987,A,brisbane bears,3.4 5.10 7.17 15.19,109,6.1 13.6 17.8 22.12,144,L,-35,People First Stadium,7943.0,15,19,22,12
14081,richmond tigers,22,1987-08-28,1987,H,brisbane bears,4.3 7.8 11.10 17.11,113,6.3 12.7 19.10 26.13,169,L,-56,Melbourne Cricket Ground,12079.0,17,11,26,13
14092,richmond tigers,11,1988-06-12,1988,A,brisbane bears,3.1 6.6 8.6 15.13,103,7.6 12.10 19.12 23.13,151,L,-48,People First Stadium,13322.0,15,13,23,13
14101,richmond tigers,20,1988-08-12,1988,H,brisbane bears,2.2 5.9 7.15 11.20,86,5.3 8.7 10.10 14.16,100,L,-14,Melbourne Cricket Ground,15026.0,11,20,14,16
14114,richmond tigers,11,1989-06-10,1989,H,brisbane bears,0.4 1.7 5.11 5.15,45,3.2 3.4 3.7 3.8,26,W,19,Melbourne Cricket Ground,7966.0,5,15,3,8
