match_id,season,round,match_date,venue,home_team,away_team,home_score,away_score,crowd,margin,result,home_win,home_form_win_rate_last3,home_form_avg_score_for_last3,home_form_avg_score_against_last3,home_form_avg_margin_last3,home_form_win_rate_last5,home_form_avg_score_for_last5,home_form_avg_score_against_last5,home_form_avg_margin_last5,home_form_win_rate_last10,home_form_avg_score_for_last10,home_form_avg_score_against_last10,home_form_avg_margin_last10,home_team_streak_entering_game,home_days_since_last_match,home_games_played_this_season,home_venue_experience,home_points_cum_prior,home_scored_cum_prior,home_conceded_cum_prior,home_percentage_prior,home_ladder_position_prior,home_h2h_win_rate_prior,home_h2h_games_played_prior,away_form_win_rate_last3,away_form_avg_score_for_last3,away_form_avg_score_against_last3,away_form_avg_margin_last3,away_form_win_rate_last5,away_form_avg_score_for_last5,away_form_avg_score_against_last5,away_form_avg_margin_last5,away_form_win_rate_last10,away_form_avg_score_for_last10,away_form_avg_score_against_last10,away_form_avg_margin_last10,away_team_streak_entering_game,away_days_since_last_match,away_games_played_this_season,away_venue_experience,away_points_cum_prior,away_scored_cum_prior,away_conceded_cum_prior,away_percentage_prior,away_ladder_position_prior,away_h2h_win_rate_prior,away_h2h_games_played_prior,form_win_rate_diff_last5,ladder_position_diff,rest_days_diff
19830430_MelbourneDemons,1983,6,1983-04-30,Melbourne Cricket Ground,Melbourne Demons,Sydney Swans,126,93,22590.0,33,H,1.0,0.3333333333333333,96.66666666666667,106.66666666666667,-10.0,0.4,106.8,111.0,-4.2,0.4,106.8,111.0,-4.2,1.0,5.0,5,3,8,534,555,96.21621621621621,8.0,,0,0.3333333333333333,85.66666666666667,149.0,-63.333333333333336,0.4,82.6,125.4,-42.8,0.4,82.6,125.4,-42.8,1.0,6.0,5,0,8,413,627,65.86921850079744,9.0,,0,0.0,1.0,-1.0
19830430_HawthornHawks,1983,6,1983-04-30,Waverley Park,Hawthorn Hawks,Richmond Tigers,88,106,33096.0,-18,A,0.0,0.6666666666666666,121.0,77.66666666666667,43.333333333333336,0.8,112.8,78.0,34.8,0.8,112.8,78.0,34.8,1.0,7.0,5,0,16,564,390,144.6153846153846,2.0,,0,0.0,87.66666666666667,112.33333333333333,-24.666666666666668,0.0,87.8,118.4,-30.6,0.0,87.8,118.4,-30.6,-5.0,5.0,5,0,0,439,592,74.1554054054054,11.0,,0,0.8,9.0,2.0
19830430_EssendonBombers,1983,6,1983-04-30,Windy Hill,Essendon Bombers,Western Bulldogs,181,49,26387.0,132,H,1.0,0.6666666666666666,108.33333333333333,112.33333333333333,-4.0,0.6,113.2,103.6,9.6,0.6,113.2,103.6,9.6,2.0,5.0,5,2,12,566,518,109.26640926640927,6.0,,0,1.0,115.0,96.66666666666667,18.333333333333332,0.8,103.8,95.6,8.2,0.8,103.8,95.6,8.2,4.0,5.0,5,0,16,519,478,108.57740585774059,4.0,,0,-0.20000000000000007,-2.0,0.0
19830430_StKildaSaints,1983,6,1983-04-30,Moorabbin Oval,St Kilda Saints,Fitzroy Lions,102,143,16154.0,-41,A,0.0,0.0,86.0,140.33333333333334,-54.333333333333336,0.0,83.0,130.4,-47.4,0.0,83.0,130.4,-47.4,-5.0,6.0,5,1,0,415,652,63.65030674846626,12.0,,0,1.0,115.66666666666667,57.666666666666664,58.0,0.8,109.4,69.4,40.0,0.8,109.4,69.4,40.0,4.0,7.0,5,0,16,547,347,157.63688760806917,1.0,,0,-0.8,-11.0,-1.0
19830507_FitzroyLions,1983,7,1983-05-07,Junction Oval,Fitzroy Lions,Geelong Cats,76,67,18770.0,9,H,1.0,1.0,131.0,73.0,58.0,1.0,115.6,63.6,52.0,0.8333333333333334,115.0,74.83333333333333,40.166666666666664,5.0,7.0,6,3,20,690,449,153.67483296213808,1.0,,0,0.6666666666666666,98.33333333333333,95.0,3.3333333333333335,0.8,98.0,85.4,12.6,0.8333333333333334,99.33333333333333,83.66666666666667,15.666666666666666,1.0,7.0,6,0,20,596,502,118.72509960159363,2.0,,0,0.19999999999999996,1.0,0.0
19830507_HawthornHawks,1983,7,1983-05-07,Princes Park,Hawthorn Hawks,North Melbourne Kangaroos,91,142,13958.0,-51,A,0.0,0.3333333333333333,93.33333333333333,99.0,-5.666666666666667,0.6,104.2,76.8,27.4,0.6666666666666666,108.66666666666667,82.66666666666667,26.0,-1.0,7.0,6,2,16,652,496,131.4516129032258,4.0,,0,0.3333333333333333,119.33333333333333,120.33333333333333,-1.0,0.4,117.2,98.8,18.4,0.5,114.33333333333333,96.83333333333333,17.5,-2.0,7.0,6,0,12,686,581,118.07228915662651,6.0,,0,0.19999999999999996,2.0,0.0
19830507_WesternBulldogs,1983,7,1983-05-07,Western Oval,Western Bulldogs,Collingwood Magpies,82,88,31479.0,-6,A,0.0,0.6666666666666666,94.33333333333333,130.66666666666666,-36.333333333333336,0.8,98.6,110.6,-12.0,0.6666666666666666,94.66666666666667,109.83333333333333,-15.166666666666666,-1.0,7.0,6,2,16,568,659,86.19119878603945,5.0,,0,0.3333333333333333,106.66666666666667,114.66666666666667,-8.0,0.2,100.6,108.4,-7.8,0.3333333333333333,106.33333333333333,111.16666666666667,-4.833333333333333,1.0,7.0,6,0,8,638,667,95.65217391304348,8.0,,0,0.6000000000000001,3.0,0.0
19830507_RichmondTigers,1983,7,1983-05-07,Melbourne Cricket Ground,Richmond Tigers,Essendon Bombers,112,137,49707.0,-25,A,0.0,0.3333333333333333,107.66666666666667,110.33333333333333,-2.6666666666666665,0.2,93.8,108.8,-15.0,0.16666666666666666,90.83333333333333,113.33333333333333,-22.5,1.0,7.0,6,2,4,545,680,80.1470588235294,9.0,,0,1.0,150.0,96.33333333333333,53.666666666666664,0.8,127.4,91.2,36.2,0.6666666666666666,124.5,94.5,30.0,3.0,7.0,6,0,16,747,567,131.74603174603175,3.0,,0,-0.6000000000000001,-6.0,0.0
19830507_MelbourneDemons,1983,7,1983-05-07,Waverley Park,Melbourne Demons,St Kilda Saints,108,75,25192.0,33,H,1.0,0.6666666666666666,112.33333333333333,100.66666666666667,11.666666666666666,0.6,107.0,102.6,4.4,0.5,110.0,108.0,2.0,2.0,7.0,6,0,12,660,648,101.85185185185185,7.0,,0,0.0,106.0,131.0,-25.0,0.0,86.0,139.0,-53.0,0.0,86.16666666666667,132.5,-46.333333333333336,-6.0,7.0,6,1,0,517,795,65.03144654088051,10.0,,0,0.6,3.0,0.0
19830508_SydneySwans,1983,7,1983-05-08,Sydney Cricket Ground,Sydney Swans,Carlton Blues,118,149,15432.0,-31,A,0.0,0.3333333333333333,101.66666666666667,129.33333333333334,-27.666666666666668,0.2,79.0,128.6,-49.6,0.3333333333333333,84.33333333333333,125.5,-41.166666666666664,-1.0,8.0,6,3,8,506,753,67.19787516600266,2.0,,0,0.3333333333333333,83.0,103.33333333333333,-20.333333333333332,0.4,85.6,99.2,-13.6,0.5,94.0,95.33333333333333,-1.3333333333333333,-2.0,8.0,6,0,12,564,572,98.6013986013986,1.0,,0,-0.2,-1.0,0.0
