team,opponent,match_date,season,venue,is_home,team_score,opp_score,win,draw,margin,points
Adelaide Crows,Geelong Cats,2002-04-06,2002,AAMI Stadium,True,110,79,1,0,31,4
Adelaide Crows,Sydney Swans,2002-04-13,2002,AAMI Stadium,True,114,84,1,0,30,4
Adelaide Crows,Essendon Bombers,2002-04-19,2002,Marvel Stadium,False,81,122,0,0,-41,0
Adelaide Crows,Port Adelaide Power,2002-04-27,2002,AAMI Stadium,True,82,90,0,0,-8,0
Adelaide Crows,Richmond Tigers,2002-05-05,2002,Marvel Stadium,True,105,73,1,0,32,4
Adelaide Crows,Fremantle Dockers,2002-05-11,2002,AAMI Stadium,True,118,89,1,0,29,4
Adelaide Crows,North Melbourne Kangaroos,2002-05-19,2002,Manuka Oval,False,93,110,0,0,-17,0
Adelaide Crows,Carlton Blues,2002-05-26,2002,Princes Park,False,131,75,1,0,56,4
Adelaide Crows,Brisbane Lions,2002-06-01,2002,AAMI Stadium,True,101,94,1,0,7,4
Adelaide Crows,Hawthorn Hawks,2002-06-08,2002,AAMI Stadium,True,102,58,1,0,44,4
Adelaide Crows,Melbourne Demons,2002-06-22,2002,Princes Park,False,73,98,0,0,-25,0
Adelaide Crows,West Coast Eagles,2002-06-30,2002,Domain Stadium,False,117,135,0,0,-18,0
Adelaide Crows,Collingwood Magpies,2002-07-07,2002,AAMI Stadium,True,116,138,0,0,-22,0
